CONCLIENTE,dataNascimentoCliente,sexoCliente,CONINSCRICAO,CONPRODUTO,periodicidadeCobranca,parcelamento,CONITEMCONTRATADO,codigoSistemaItemContratado,dataInicioVigenciaCobertura,prazoContribuicao,prazoCobertura,prazoDecrescimoItemContratado,prazoCertoRendaItemContratado,prazoMinimoGarantidoRendaItemContratado,indiceReajusteItemContratado,valorCapitalSeguradoItemContratadoInicial,CONITEMCONTRATADOBENEFICIARIO,percentualParticipacaoBeneficio,CONBENEFICIARIO,dataNascimentoBeneficiario,sexoBeneficiario
7594301,1982-07-21,M,16296420,1075,MENSAL,1,95827233,204375,2022-01-06,30,9999,30.0,,,IPCA,400000.0,,,,,
7594301,1982-07-21,M,16296422,1072,MENSAL,1,95827234,204377,2022-01-06,20,20,,,,IPCA,1097000.0,,,,,
1503133,1959-03-10,M,16295202,1073,ANUAL,1,95827239,204373,2022-01-06,9999,9999,,,,IPCA,1199199.63,1921514.0,100.0,3459559.0,1965-07-04,NÃO INFORMADO
6931343,1976-06-24,M,16295219,1075,MENSAL,1,95827240,204375,2022-01-06,30,9999,10.0,,,IPCA,1200000.0,1921629.0,50.0,3540753.0,2015-05-27,MASCULINO
6931343,1976-06-24,M,16295219,1075,MENSAL,1,95827240,204375,2022-01-06,30,9999,10.0,,,IPCA,1200000.0,1921781.0,50.0,3540752.0,1979-10-07,MASCULINO
953166,1977-04-02,M,16301001,1072,MENSAL,1,95849344,204377,2022-01-07,15,15,,,,IPCA,1500000.0,1198182.0,100.0,3633151.0,1976-04-30,NÃO INFORMADO
7596886,2003-01-11,M,16302006,1072,MENSAL,1,95849345,204377,2022-01-07,30,30,,,,IPCA,1000000.0,,,,,
5728539,1967-02-08,M,16301192,1072,MENSAL,1,95849356,204377,2022-01-31,10,10,,,,IPCA,1000000.0,1376270.0,50.0,3633175.0,1967-04-16,NÃO INFORMADO
5728539,1967-02-08,M,16301192,1072,MENSAL,1,95849356,204377,2022-01-31,10,10,,,,IPCA,1000000.0,1376678.0,50.0,3633176.0,2002-06-21,MASCULINO
711666,1990-10-14,M,16299431,1072,MENSAL,1,95849417,204377,2022-02-06,20,20,,,,IPCA,400000.0,1767607.0,100.0,3632991.0,2017-10-23,MASCULINO
7596459,1986-03-20,F,16301720,1076,ANUAL,1,95849423,204376,2022-01-07,10,9999,20.0,,,IPCA,500000.0,1810774.0,100.0,3633303.0,1980-06-17,MASCULINO
7596109,1967-11-15,F,16301490,1074,ANUAL,1,95849446,204374,2022-01-21,10,9999,,,,IPCA,2000000.0,1825341.0,40.0,3633255.0,1960-04-07,NÃO INFORMADO
7596109,1967-11-15,F,16301490,1074,ANUAL,1,95849446,204374,2022-01-21,10,9999,,,,IPCA,2000000.0,1825544.0,20.0,3633256.0,1995-08-29,MASCULINO
7596109,1967-11-15,F,16301490,1074,ANUAL,1,95849446,204374,2022-01-21,10,9999,,,,IPCA,2000000.0,1825748.0,20.0,3633257.0,2001-10-29,MASCULINO
7596109,1967-11-15,F,16301490,1074,ANUAL,1,95849446,204374,2022-01-21,10,9999,,,,IPCA,2000000.0,1825799.0,20.0,3633258.0,2003-04-29,MASCULINO
7259507,1966-10-19,M,16299594,1074,MENSAL,1,95849447,204374,2022-01-07,10,9999,,,,IPCA,400000.0,1824258.0,34.0,3578045.0,1992-12-21,MASCULINO
7259507,1966-10-19,M,16299594,1074,MENSAL,1,95849447,204374,2022-01-07,10,9999,,,,IPCA,400000.0,1824309.0,33.0,3578046.0,1994-03-04,MASCULINO
7259507,1966-10-19,M,16299594,1074,MENSAL,1,95849447,204374,2022-01-07,10,9999,,,,IPCA,400000.0,1824514.0,33.0,3578080.0,1996-10-01,MASCULINO
3332047,1961-04-12,F,16299487,1074,ANUAL,1,95849448,204374,2022-01-07,10,9999,,,,IPCA,500000.0,1826703.0,50.0,3432757.0,1990-01-26,MASCULINO
3332047,1961-04-12,F,16299487,1074,ANUAL,1,95849448,204374,2022-01-07,10,9999,,,,IPCA,500000.0,1827162.0,50.0,3432758.0,1984-05-26,MASCULINO
